item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo,intervention_presence,intervention_presenceinfo,intervention_location,intervention_locationinfo,intervention_dimension,intervention_dimensioninfo,intervention_structure,itervention_structureinfo,intervention_management,intervention_managementinfo,intervention_vegetationtype,intervention_vegetationtypeinfo,intervention_management,intervention_managementinfo,intervention_other,intervention_otherinfo,intervention_transect,intervention_transectinfo,intervention_notdescribed,intervention_notdescribedinfo,outcome_biodiversityaquatic,outcome_biodiversityaquaticinfo,outcome_biodiversitysemiaquatic,outcome_biodiversitysemiaquaticinfo,outcome_biodiversityterrestrial,outcome_biodiversityterrestrialinfo,outcome_pollination,outcome_pollinationinfo,outcome_gamespecies,outcome_gamespeciesinfo,outcome_pestcontrol,outcome_pestcontrolinfo,outcome_nutrientsn,outcome_nutrientsninfo,outcome_nutrientsp,outcome_nutrientsninfo,outcome_soillossretention,outcome_soillossretentioninfo,outcome_soilsedimentchem,outcome_soilsedimentcheminfo,outcome_waterchem,outcome_watercheminfo,outcome_soilsedimentphys,outcome_soilsedimentphysinfo,outcome_waterlossretention,outcome_waterlossretentioninfo,outcome_economic,outcome_economicinfo,outcome_ghgs,outcome_ghgsinfo,outcome_pesticides,outcome_pesticidesinfo,outcome_toxins,outcome_toxinsinfo,outcome_wind,outcome_windinfo,outcome_gmpollen,outcome_gmpolleninfo,outcome_yield,outcome_yieldinfo,outcome_social,outcome_socialinfo,outcome_recreation,outcome_recreationinfo,outcome_other,outcome_otherinfo,outcome_pathogens,outcome_pathogensinfo,outcome_noncropyield,outcome_noncropyieldinfo,outcome_light,outcome_lightinfo,outcome_habitat,outcome_habitatinfo,outcome_climate,outcome_climateinfo,outcome_microbes,outcome_microbesinfo,outcome_physiology,outcome_physiologyinfo,es_provisioning_food,es_provisioning_freshwater,es_provisioning_fibrefuel,es_provisioning_biochemicalproducts,es_provisioning_geneticmaterials,es_regulating_climateregulation,es_regulating_hydrologicalregimes,es_regulating_pollutioncontrol,es_regulating_erosionprotection,es_regulating_naturalhazards,es_regulating_pestregulation,es_regulating_nutrientcycling,es_cultural_piritualinspirational,es_cultural_recreational,es_cultural_aesthetic,es_cultural_educational,es_supporting_biodiversity,es_supporting_pollination,es_supporting_soilformation
21567789,Adhikari (2014),"Soil Thermal Properties under Prairies, Conservation Buffers, and Corn-Soybean Land Use Systems",2014,2010-2014,"http://scholar.google.co.uk/scholar?q=Soil+Thermal+Properties+under+Prairies,+Conservation+Buffers,+and+Corn-Soybean+Land+Use+Systems&btnG=&hl=en&as_sdt=0%2C5",Grass buffer,USA,"Missouri, USA",Central and northern Missouri (40.02 N -92.18 E),40.02,-92.18,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"""buffer strips composed of grass and legume combinations of redtop (Agrostis gigantea Roth), brome grass (Bromus spp.) and birdsfoot trefoil (Lotus corniculatus L.)""",,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)",SOC,,,Soil/sediment (physical),"bulk density, soil thermal conductivity, soil thermal diffusivity, volumetric heat capacity, particle size, aggregate size",Water loss/retention,soil volumetric moisture content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,,,,,Nutrient cycling,,,,,,,Soil formation
21567798,Aguiar (2015),Nutrient removal effectiveness by riparian buffer zones in rural temperate watersheds: The impact of no-till crops practices,2015,2015-2016,http://scholar.google.co.uk/scholar?q=Nutrient+removal+effectiveness+by+riparian+buffer+zones+in+rural+temperate+watersheds:+The+impact+of&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,Brazil,"Paraná, Brazil","Cará-Cará, Ponta Grossa",-25.158801,-50.121517,Observational,,2,Not stated,,,,Catchment scale,,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,,,Shrubs,,,,Trees,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,Strip type (dimension),,,,,,Vegetation type,,,,,,,,,,,,,,,,,,,,,,Nutrients N,,Nutrients P,,,,"Soil/sediment (chemical, not N/P)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fresh water,,,,,,Pollution control,,,,Nutrient cycling,,,,,,,
21567802,Alain (2006),Factors driving small rodents assemblages from field boundaries in agricultural landscapes of western France,2006,2005-2009,http://scholar.google.co.uk/scholar?q=Factors+driving+small+rodents+assemblages+from+field+boundaries+in+agricultural+landscapes+of+wester&btnG=&hl=en&as_sdt=0%2C5,"Hedge, grassy bank",France,France,"Mont Saint-Michel Bay, Brittany (48 36 N, 1 32 W)",48.6,-1.533333,Observational,,<1,Not stated,,,,,Regional scale,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,Hedges versus grassy banks,,,,,,,,,,,,,Biodiversity (terrestrial),Small mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567808,Altewischer (2015),Habitat preferences of male Corn Buntings Emberiza calandra in north-eastern Germany,2015,2015-2016,http://scholar.google.co.uk/scholar?q=Habitat+preferences+of+male+Corn+Buntings+Emberiza+calandra+in+north-eastern+Germany&btnG=&hl=en&as_sdt=0%2C5,"Field boundary, unploughed strip",Germany,Germany,"Greifswald, Western-Pomerania",54.086546,13.392341,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,,,,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,Other (please specify),Various other land use catagories described,,,,,,,,,,,,,Other (please specify),Undescribed field baoundaries and unploughed strips,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,Arthropods,,,,,,,Biodiversity (terrestrial),Corn bunting habitat preference and arthropod abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567815,Al-wadaey (2012),Effectiveness of Grass Filters in Reducing Phosphorus and Sediment Runoff,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Effectiveness+of+Grass+Filters+in+Reducing+Phosphorus+and+Sediment+Runoff&btnG=&hl=en&as_sdt=0%2C5,Grass filter,USA,"Nebraska, USA","University of Nebraska Agricultural Research and Development Center (4110′34′′ N, 9625′51′′ W)",41.176111,-96.430833,,Manipulative,2,2,Plot scale,,,,,,Q1,Q2,Q3,,,Conventional,,,,,,,,,,,,,,,,,Not described,,Grasses,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,Sown/planted,Sod transplantation (including grass plants),,,Managed (other),"""Regular maintenance was done to ensure growth of the grass...""",,,,,,,Strip type (dimension),Percentage grass filter area relative to drainage area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrients P,Runoff sediment,,,,,,,,,Water loss/retention,Runoff volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,,,Nutrient cycling,,,,,,,
21567819,Amy (2015),Hedgerow rejuvenation management affects invertebrate communities through changes to habitat structure,2015,2015-2016,http://scholar.google.co.uk/scholar?q=Hedgerow+rejuvenation+management+affects+invertebrate+communities+through+changes+to+habitat+structu&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,UK,UK,"East and southeast England (New-bottle Estate (NE; Buckinghamshire), Utcoate Grange (UG; Bedfordshire), Monks Wood (MW; Cambridgeshire) and Wimpole Hall (WH; Cambridgeshire))",52.27248,0.117509,,Manipulative,1,Not stated,Plot scale,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,Unmanaged,,,,,,Cut,,,,,,Sown/planted,Hedgelaying,,,,,,,,,,,,,,,Strip management,"Midland-style hedgelaying, conservation hedgelaying, wildlife hedging (mechanical laying), circular saw re-shaping, and control",,,,,,,,,,,,,,,Biodiversity (terrestrial),"Invertebrate abundance and diversity, vegetation habitat structure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567825,Anderson (2013),The influence of conservation field margins in intensively managed grazing land on communities of five arthropod trophic groups,2013,2010-2014,http://scholar.google.co.uk/scholar?q=The+influence+of+conservation+field+margins+in+intensively+managed+grazing+land+on+communities+of+fi&btnG=&hl=en&as_sdt=0%2C5,Field margin,Ireland,Ireland,"Teagasc Research Centre, Johnstown Castle, Co. Wexford (52 17 N, 6 30 W)",52.28333,-6.5,,Manipulative,2,3,,,Farm scale,,,,,Q2,Q3,,,,,Not described,Livestock,Dairy,,,,,,,,,,,,,,,Grasses,"Grazed existing vegetation, existing vegetation, naturally revegetated, or seeded with grass and wildflower seed mix",Wildflowers,Seeded with grass and wildlflower mix,,,,,,,,,,,,Field edge,,,Unmanaged,,,,Soil disturbed,Rotavation,,,Grazed,,,,Sown/planted,,Pesticide,Glyphosate,,,,,Strip presence,Grazed existing vegetation,,,,,,,Strip management,Fenced only (existing vegetation); glyphosate+rotovator+natural revegetation; glyphosate+rotovator+grass and wildflower seed mix,Vegetation type,"Grass (existing), grass (revegetated), grass and wildflower seed mix",,,,,,,,,Biodiversity (aquatic),Arthropod abundance and taxon richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567826,Anderson (2009),Soil water content and infiltration in agroforestry buffer strips,2009,2005-2009,http://scholar.google.co.uk/scholar?q=Soil+water+content+and+infiltration+in+agroforestry+buffer+strips&btnG=&hl=en&as_sdt=0%2C5,"Agroforestry buffer strip, grassed water way",USA,"Missouri, USA","University of Missouri Greenley Memorial Research Center in KnoxCounty, Missouri",39.989689,-92.18399,Observational,,<1,6,,,,Catchment scale,,,,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,Redtop (Agrostis gigantea Roth) and brome grass (Bromus spp.),Wildflowers,Birdsfoot refoil (Lotus corniculatus L.),,,,,Trees,"Pin oak (Quercus palustris Muenchh.), swamp white oak (Quercus bicolor Willd.) and bur oak (Quercus macrocarp Michx.) alternated at 3m intervals",,,,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,,Strip presence,,,,,,Strip type (structure),Agroforestry buffer strips compared with grassed waterway,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water loss/retention,"Infiltration, soil water content, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,Natural hazards,,,,,,,,,
21567833,Anjum-Zubair (2010),Influence of within-field position and adjoining habitat on carabid beetle assemblages in winter wheat,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Influence+of+within-field+position+and+adjoining+habitat+on+carabid+beetle+assemblages+in+winter+whe&btnG=&hl=en&as_sdt=0%2C5,"Sown wildflower area, grassy margin",Switzerland,Switzerland,"Between Solothurn and Bern (46.9058 to 47.1940 N, 7.3793 to 7.5650 E)",47.0499,7.47215,Observational,,<1,Various,,,,,Regional scale,,,Q2,,,,,,Not described,,,Cropped fields (arable),Winter wheat,,,,,,,,,,,,,Grasses,"Typically 0.7 m wide, probably >10 years old",Wildflowers,"0.4-2.3 hectares and at least 25 m wide, 2-6 years old and neither mown nor treated with herbicides over that period",,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,Combination of dimensions and vegetation type (confounded),,,,,Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),Beetle activity-density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567839,Arango (2008),Land use influences the spatiotemporal controls on nitrification and denitrification in headwater streams,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Land+use+influences+the+spatiotemporal+controls+on+nitrification+and+denitrification+in+headwater+st&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Michigan, USA","Kalamazoo River catchment, southwestern Michigan",42.621185,-86.083371,Observational,,<1,Not stated,,,,Catchment scale,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,Not described,Predominantly forest,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrients N,"NH4+N, NO3-N, exchangeable NH4+N, molar C:N",Nutrients P,Soluble reactive phosphorus,,,"Soil/sediment (chemical, not N/P)",Sediment: organic carbon,Water chemistry/quality (not N/P),"Dissolved oxygen, pH, dissolved organic carbon",,,Water loss/retention,Discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fresh water,,,,,Hydrological regimes,Pollution control,,,,Nutrient cycling,,,,,,,
21567840,Arnold (2004),Runoff from tomato cultivation in the estuarine environment: biological effects of farm management practices,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Runoff+from+tomato+cultivation+in+the+estuarine+environment:+biological+effects+of+farm+management+p&btnG=&hl=en&as_sdt=0%2C5,Forested buffer zone,USA,"Virginia, USA","Hopeland Farm, Accomack County",37.706332,-75.806908,Observational,,<1,Not stated,,,Farm scale,,,,,,Q3,,,,,Not described,,,Cropped fields (arable),Tomatoes,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxins,"Dissolved copper, metolachlor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution control,,,,,,,,,,,
21567841,Arnold (1983),"The influence of ditch and hedgerow structure, length of hedgerows, and area of woodland and garden on bird numbers on farmland",1983,1980-1984,"http://scholar.google.co.uk/scholar?q=The+influence+of+ditch+and+hedgerow+structure,+length+of+hedgerows,+and+area+of+woodland+and+garden+&btnG=&hl=en&as_sdt=0%2C5",Hedgerow,UK,UK,Cambridgeshire,52.360816,0.032128,Observational,,<1,Not stated,,,,,Regional scale,,Q1,Q2,,Q4,,,,Not described,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,Hedgerow,"1-1.5 m high, containing a few trees",,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,Other (please specify),Comparison with other habitats,,,,,,,,,Biodiversity (terrestrial),"Bird species richness, bird sightings (split by species), bird territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567842,Arora (2003),Effectiveness of vegetated buffer strips in reducing pesticide transport in simulated runoff,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Effectiveness+of+vegetated+buffer+strips+in+reducing+pesticide+transport+in+simulated+runoff&btnG=&hl=en&as_sdt=0%2C5,Vegetated buffer strip,USA,"Iowa, USA",Swine Nutrition Farm of Iowa State University,42.026619,-93.646465,,Manipulative,<1,2,Plot scale,,,,,,,,Q3,,,Conventional,,,,,Cropped fields (arable),Corn,,,,,,,,,,,,,Grasses,"""81% brome grass (Bromus inermis), 12% blue grass (Poa pratensis), 5% fescue (Festuca arundinacea), and 2% other""",,,,,,,,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,Strip type (dimension),Drainage area:buffer strip area ratio 15:1 and 30:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soil loss/retention,Sediment retention,,,,,,,Water loss/retention,Infiltration %,,,,,,,Toxins,"Atrazine retention, metachlor retention, chlropyrifos retention",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,,,,,,,,,,
21567843,Arora (1996),Herbicide retention by vegetative buffer strips from runoff under natural rainfall,1996,1995-1999,http://scholar.google.co.uk/scholar?q=Herbicide+retention+by+vegetative+buffer+strips+from+runoff+under+natural+rainfall&btnG=&hl=en&as_sdt=0%2C5,Vegetative buffer strip,USA,"Iowa, USA",Swine Nutrition Center of Iowa State University,42.026619,-93.646465,,Manipulative,2,1,Plot scale,,,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),Corn,,,,,,,,,,,,,Grasses,"""81% smooth bromegrass (Bromus inermis), 12% Kentucky bluegrass (Poa pratensis), 5% tall fescue (Festuca arundinacea), and 2% others""",,,,,,,,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,Strip type (dimension),Infiltration,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,,,,,Soil loss/retention,Sediment retention %,,,,,,,,,,,,,,,Toxins,"Atrazine retention %, Metolachlor retention %, Cyanazine retention %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,,,,,,,,,,
21567845,Aschwanden (2007),Importance of ecological compensation areas for small mammals in intensively farmed areas,2007,2005-2009,http://scholar.google.co.uk/scholar?q=Importance+of+ecological+compensation+areas+for+small+mammals+in+intensively+farmed+areas&btnG=&hl=en&as_sdt=0%2C5,"Wildflower strip, herbaceous strip",Switzerland,Switzerland,"Wauwil (47 10 N, 8 2 E)",47.158358,8.035403,Observational,,<1,Not stated,,,Farm scale,,,,Q1,Q2,Q3,,,,,Not described,,,Cropped fields (arable),Autumn-sown wheat,,,,,,,Grassland,Artificial grassland,,,,,,,Wildflowers,"""Wildflower strips are are arable fallows sown with seed mixtures of native plants. They were on average 15 m wide and 185 m long (i.e. covering 0.28 ha)""",,,,,,,Other (please specify),"""Herbaceous strips consisted of different species of herbacous plants: thistles Cirsium spp., common teasel Dipsacus sylvestris, St John's Wort Hypericum perforatum, common mallow Malva sylvestris and mulleins Verbascum spp. (5 x 320 m, i.e. covering on average 0.16 ha). They were bordered by hedgerows on one side and conventional field types on the other side (e.g. artificial grassland, maize fields or potato fields)""",,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,Strip type (dimension),"Wildflower strips 15 m x 185 m, herbacous strips 5 m x 320 m",,,,,Vegetation type,Widlflower and herbacous strips,,,,,Transect into field/across vegetative strip,Meadow and wheat,,,,,,,Biodiversity (terrestrial),"Small mammal density, abundance, and species richness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567847,Asteraki (1995),"THE INFLUENCE OF DIFFERENT TYPES OF GRASSLAND FIELD MARGIN ON CARABID BEETLE (COLEOPTERA, CARABIDAE) COMMUNITIES",1995,1995-1999,"http://scholar.google.co.uk/scholar?q=THE+INFLUENCE+OF+DIFFERENT+TYPES+OF+GRASSLAND+FIELD+MARGIN+ON+CARABID+BEETLE+(COLEOPTERA,+CARABIDAE)&btnG=&hl=en&as_sdt=0%2C5",Hedgerow,UK,UK,"IGER in North Wyke, Devon",50.769492,-3.901305,Observational,,<1,Not stated,,,Farm scale,,,,,Q2,Q3,Q4,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,Hedgerow,Exposed (west facing) or sheltered (east facing) thick dense hedgerows,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,,Strip location,Exposed (west facing) or sheltered (east facing),,,,,,,,,,,,,,,,,,,,,Biodiversity (terrestrial),"Plant species richness, carabid species richness and abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567848,Asteraki (2004),Factors influencing the plant and invertebrate diversity of arable field margins,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Factors+influencing+the+plant+and+invertebrate+diversity+of+arable+field+margins&btnG=&hl=en&as_sdt=0%2C5,Field margin,UK,UK,"Royal Agricultural College Harnhill Manor Farm, Cirencester",51.709324,-1.994646,,Manipulative,<1,1,,Field scale,,,,,,Q2,Q3,,,Conventional,Organic,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"Naturally regenerated, simple gass seed mix, and a complex grass and forb seed mix",Wildflowers,Complex grass and forb seed mix,,,,,,,Other (please specify),Complex grass and herb mix,,,,Field edge,,,Unmanaged,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,Strip management,"Naturally regenerated versus seeded mixes (x3: simple grass seed mix, complex grass seed mix, complex grass and forb seed mix)",Vegetation type,"Simple grass seed mix, complex grass seed mix, complex grass plus forb species seed mix",,,,,,,,,,,,,Biodiversity (terrestrial),"Plant cover and species richness, Coleoptera species richness and diversity (H')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567850,Atakan (2010),"Influence of weedy field margins on abundance patterns of the predatory bugs Orius spp. and their prey, the western flower thrips (Frankliniella occidentalis), on faba bean",2010,2010-2014,http://scholar.google.co.uk/scholar?q=Influence+of+weedy+field+margins+on+abundance+patterns+of+the+predatory+bugs+Orius+spp.+and+their+pr&btnG=&hl=en&as_sdt=0%2C5,Weedy field margin,Turkey,Turkey,"Çukurova (37 1.809 N, 35 21.694 E)",37.03015,35.361567,,Manipulative,2,2,Plot scale,,,,,,Q1,Q2,,,,,,Not described,,,Cropped fields (arable),Faba bean,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),Weedy field margins,,,,Field edge,,,Unmanaged,,,,Soil disturbed,,,,,,,,,,,,,,,,,,,,,,,,Strip management,Weeds regularly controlled by tillage versus no tillage but weed control,,,,,,,,,,,,,,,Biodiversity (terrestrial),Insect abundance and density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567858,Aviron (2011),"Effects of Wildflower Strip Quality, Quantity, and Connectivity on Butterfly Diversity in a Swiss Arable Landscape",2011,2010-2014,"http://scholar.google.co.uk/scholar?q=Effects+of+Wildflower+Strip+Quality,+Quantity,+and+Connectivity+on+Butterfly+Diversity+in+a+Swiss+Ar&btnG=&hl=en&as_sdt=0%2C5",Wildflower strip,Switzerland,Switzerland,"Eglisau (47 35 30, N 8 32 E)",47.576222,8.521981,Observational,,5,01-Oct,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),"Mainly wheat, root crops and maize",,,,,,,,,,,,,,,Wildflowers,Seeded mixtures of buckwheat as ground cover and 30-40 wild plant species. No fertiliser or pesticides and no cutting between March and October.,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),Butterfly species richness and abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567866,Backman (2002),Habitat quality of field margins in a Finnish farmland area for bumblebees (Hymenoptera: Bombus and Psithyrus),2002,2000-2004,http://scholar.google.co.uk/scholar?q=Habitat+quality+of+field+margins+in+a+Finnish+farmland+area+for+bumblebees+(Hymenoptera:+Bombus+and+&btnG=&hl=en&as_sdt=0%2C5,Field margin,Finland,Finland,"Lammi (61 05 N, 25 00 E)",61.083333,25,Observational,,1,Not stated,,,,,Regional scale,,,,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),"Tilled, non-cropped margin, mostly fairly bare",,,,Field edge,,,,,,,,,Cut,,,,,,,,,,,,,,,,,,Strip type (dimension),Margin width,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),"Bumblebee species richness, diversity and density",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21567869,Badenhausser (2012),Sown grass strip—A stable habitat for grasshoppers (Orthoptera: Acrididae) in dynamic agricultural landscapes,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Sown+grass+strip—A+stable+habitat+for+grasshoppers+(Orthoptera:+Acrididae)+in+dynamic+agricultural+l&btnG=&hl=en&as_sdt=0%2C5,Sown grass strip,France,France,"Villefollet (46.11 N, 0.28 W)",46.11,0.28,Observational,,2,Not stated,,,,,Regional scale,,,,Q3,,,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,,,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,Strip management,"Mown without export of the cuttings, mown with export of the cuttings",Vegetation type,"grasses and legumes, grass mixtures with Festuca rubra and Lolium perenne, grass mixtures dominated by Festuca arundinacea",,,Other (please specify),Age (1-17 years),Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),"Grasshopper species richness, density and abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
