"","article_id","region","title","authors","hazard","response","sdgs","actor"
"20",6205498,"Africa","Barriers to climate change adaptation: evidence from northeast Ghana in the context of a systematic literature review","Antwi-Agyei, P; Dougill, AJ; Stringer, LC"," No information or not assessed1||| Drought||| General climate impacts"," Institutional|||Behavioural/cultural||| Ecosystem-based"," Consumption & production|||Poverty||| Work and economic growth||| Food security"," Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions||| Sub-national government"
"21",6205500,"Africa","Changing livelihoods and protected area management: a case study of charcoal production in south-west Madagascar","Gardner, CJ; Gabriel, FUL; St John, FAV; Davies, ZG"," General climate impacts||| Precipitation variability||| Drought"," Technological/infrastructural||| Institutional||| Ecosystem-based|||Behavioural/cultural"," Other2||| Food security||| Work and economic growth|||Poverty"," Individuals or households||| Local government|||International or multinational governance institutions"
"22",6205501,"Africa","Climate Change and Rural Development in the Middle Atlas Mountains and Fringe Areas (Morocco)","El Jihad, MD"," Precipitation variability||| General climate impacts"," Institutional|||Behavioural/cultural||| Ecosystem-based"," Food security||| Gender equality||| Terrestrial & freshwater ecosystem services","International or multinational governance institutions||| National government"
"23",6205502,"Africa","Climate change and variability: perception and adaptation strategies of pastoralists and agro-pastoralists across different zones of Burkina Faso","Zampaligre, N; Dossa, LH; Schlecht, E"," Drought||| General climate impacts||| Extreme precipitation and inland flooding||| Precipitation variability"," Ecosystem-based||| Technological/infrastructural"," Food security|||Poverty"," Individuals or households"
"24",6205503,"Africa","Climate change impacts and adaptation in South Africa","Ziervogel, G; New, M; van Garderen, EA; Midgley, G; Taylor, A; Hamann, R; Stuart-Hill, S; Myers, J; Warburton, M"," Drought||| General climate impacts||| Extreme precipitation and inland flooding"," Ecosystem-based|||Behavioural/cultural"," Food security||| Other2||| Health & wellbeing|||Poverty"," Civil Society- sub-national or local||| Local government||| Sub-national government||| National government"
"25",6205504,"Africa","Climate Smart Agriculture? Assessing the Adaptation Implications in Zambia","Arslan, A; McCarthy, N; Lipper, L; Asfaw, S; Cattaneo, A; Kokwe, M"," Drought||| General climate impacts"," Ecosystem-based||| Institutional"," Food security||| Health & wellbeing"," Individuals or households||| Civil Society- international/multinational/national||| National government||| Sub-national government"
"26",6205506,"Africa","Combining Sustainable Land Management Technologies to Combat Land Degradation and Improve Rural Livelihoods in Semi-arid Lands in Kenya","Mganga, KZ; Musimba, NKR; Nyariki, DM"," Drought||| Other1"," Ecosystem-based||| Technological/infrastructural"," Clean water & sanitation||| Food security|||Poverty"," Individuals or households"
"27",6205507,"Africa","Crop diversification and livelihoods of smallholder farmers in Zimbabwe: adaptive management for environmental change","Makate, C; Wang, RC; Makate, M; Mango, N"," General climate impacts||| Drought||| Precipitation variability"," Ecosystem-based||| Technological/infrastructural"," Food security"," Individuals or households||| Sub-national government"
"28",6205508," Asia","Post-disaster Housing Reconstruction: The Impact of Resourcing in Post-cyclones Sidr and Aila in Bangladesh","Islam, MZ; Kolade, O; Kibreab, G"," Other1|||Sea level rise"," Institutional||| Technological/infrastructural","Poverty||| Inequalities (Other than gender)||| Sustainable cities & communities"," Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions"
"29",6205509," Asia","TOWARDS SUSTAINABLE FLOOD RISK MANAGEMENT IN THE CHINESE COASTAL MEGACITIES. A CASE STUDY OF PRACTICE IN THE PEARL RIVER DELTA","Chan, FKS; Adekola, O; Mitchell, G; Ng, CN; Mcdonald, A"," Extreme precipitation and inland flooding|||Sea level rise"," Ecosystem-based||| Institutional|||Behavioural/cultural"," Other2"," Civil Society- sub-national or local"
"30",6205510," Asia","Rebuilding pastoral social-ecological resilience on the Qinghai-Tibetan Plateau in response to changes in policy, economics, and climate","Gongbuzeren; Huntsinger, L; Li, WJ"," Drought||| General climate impacts||| Other1"," Institutional|||Behavioural/cultural"," Inequalities (Other than gender)||| Food security||| Other2"," Civil Society- sub-national or local"
"31",6205511," Asia|||Africa||| Central and South America","Finding the missing thread: The inclusion of a human rights-based approach in tackling climate change mitigation, adaptation and disaster risk reduction","Da Costa, K.; Pospieszna, P."," Extreme precipitation and inland flooding||| Drought"," Institutional"," Education||| Food security||| Inequalities (Other than gender)|||Poverty"," Civil Society- international/multinational/national||| National government||| Local government|||International or multinational governance institutions"
"32",6205512,"Africa","""Credit plus"" microcredit schemes: a key to women's adaptive capacity","Caretta, MA"," Drought||| Extreme precipitation and inland flooding"," Institutional"," Food security||| Work and economic growth||| Consumption & production|||Poverty"," Individuals or households||| Civil Society- sub-national or local||| Private sector SMEs||| Civil Society- international/multinational/national||| Private sector corporations"
"33",6205513," Central and South America||| North America","Adaptation in a multi-stressor environment: Perceptions and responses to climatic and economic risks by coffee growers in Mesoamerica","Eakin, H.; Tucker, C.M.; Castellanos, E.; Diaz-Porras, R.; Barrera, J.F.; Morales, H."," Drought||| Extreme precipitation and inland flooding||| General climate impacts||| Increased frequency and intensity of extreme heat","Behavioural/cultural"," Work and economic growth"," Individuals or households"
"34",6205514," Europe","How cities prepare for climate change: Comparing Hamburg and Rotterdam","Huang-Lachmann, JT; Lovett, JC"," Extreme precipitation and inland flooding|||Sea level rise||| Other1"," Institutional||| Ecosystem-based||| Technological/infrastructural"," Sustainable cities & communities"," Local government||| Private sector SMEs||| National government||| Individuals or households"
"35",6205515," Europe","Spatial Optimization of Future Urban Development with Regards to Climate Risk and Sustainability Objectives","Caparros-Midwood, D; Barr, S; Dawson, R"," Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| General climate impacts"," Institutional"," No information or not assessed2"," Local government"
"36",6205517," Europe","Climate change and thermal comfort in Southern Europe housing: A case study from Lisbon","Barbosa, R; Vicente, R; Santos, R"," Increased frequency and intensity of extreme heat"," Technological/infrastructural"," Energy security||| Industry/innovation/technology||| Sustainable cities & communities||| Health & wellbeing"," Individuals or households||| Private sector SMEs"
"37",6205518," North America","Ecosystems-based adaptation: Are we being conned? Evidence from Mexico","Newsham, A; Pulido, MT; Ulrichs, M; Cruz, RM; Ocon, XC; Shankland, A; Cannon, T"," Extreme precipitation and inland flooding||| General climate impacts||| Other1||| Drought"," Ecosystem-based|||Behavioural/cultural||| Institutional"," Clean water & sanitation||| Food security||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services|||Poverty"," Civil Society- international/multinational/national||| Individuals or households||| Local government||| Other||| National government"
"38",6205519," North America","Human perceptions of, and adaptations to, shifting runoff cycles: A case-study of the Yellowstone River (Montana, USA)","Lamborn, CC; Smith, JW"," Drought||| General climate impacts||| Precipitation variability"," Ecosystem-based|||Behavioural/cultural"," Clean water & sanitation||| Terrestrial & freshwater ecosystem services||| Consumption & production"," Individuals or households||| Local government||| National government||| Civil Society- sub-national or local"
"39",6205523," Central and South America|||Africa||| Australasia","Brazil, Ethiopia, and New Zealand lead the way on climate-smart agriculture","Negra, C.; Vermeulen, S.; Barioni, L.G.; Mamo, T.; Melville, P.; Tadesse, M."," General climate impacts"," Institutional"," Food security||| Work and economic growth|||Poverty"," National government"
"40",6205524,"Africa","Is conservation agriculture 'climate-smart' for maize farmers in the highlands of Tanzania?","Kimaro, AA; Mpanda, M; Rioux, J; Aynekulu, E; Shaba, S; Thiong'o, M; Mutuo, P; Abwanda, S; Shepherd, K; Neufeldt, H; Rosenstock, TS"," Drought||| Precipitation variability"," Ecosystem-based||| Technological/infrastructural"," Food security||| Terrestrial & freshwater ecosystem services"," Civil Society- international/multinational/national|||International or multinational governance institutions||| Individuals or households"
"41",6205525,"Africa","Reducing vulnerability of rain-fed agriculture to drought through indigenous knowledge systems in north-eastern Ghana","Derbile, EK"," Precipitation variability||| Drought","Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural"," Food security||| Work and economic growth"," Individuals or households"
"42",6205526,"Africa","Yield response of maize (Zea mays L.) to conservation agriculture cropping system in Southern Africa","Thierfelder, C; Matemba-Mutasa, R; Rusinamhodzi, L"," Precipitation variability"," Ecosystem-based|||Behavioural/cultural"," Food security||| Terrestrial & freshwater ecosystem services","International or multinational governance institutions"
"43",6205528,"Africa","Responding to Crop Failure: Understanding Farmers' Coping Strategies in Southern Malawi","Coulibaly, JY; Gbetibouo, GA; Sileshi, GW; Kundhlande, G; Beedy, TL"," General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability||| Other1||| Drought||| Extreme precipitation and inland flooding"," Ecosystem-based|||Behavioural/cultural||| Institutional","Poverty||| Work and economic growth||| Other2||| Consumption & production||| Inequalities (Other than gender)||| Health & wellbeing||| Food security"," Civil Society- sub-national or local||| Individuals or households"
"44",6205529,"Africa","Fishers' perceptions of climate change, impacts on their livelihoods and adaptation strategies in environmental change hotspots: a case of Lake Wamala, Uganda","Musinguzi, L; Efitre, J; Odongkara, K; Ogutu-Ohwayo, R; Muyodi, F; Natugonza, V; Olokotum, M; Namboowa, S; Naigaga, S"," Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| Other1","Behavioural/cultural||| Technological/infrastructural"," Terrestrial & freshwater ecosystem services||| Food security"," Individuals or households||| Other"
"45",6205530,"Africa","The influence of gendered roles and responsibilities on the adoption of technologies that mitigate drought risk: The case of drought-tolerant maize seed in eastern Uganda","Fisher, M; Carr, ER"," Drought"," Technological/infrastructural"," Food security|||Poverty"," Individuals or households||| Private sector corporations||| National government|||International or multinational governance institutions"
"46",6205531,"Africa","Navigating complexity through knowledge coproduction: Mainstreaming ecosystem services into disaster risk reduction","Reyers, B; Nel, JL; O'Farrell, PJ; Sitas, N; Nel, DC"," Drought||| Extreme precipitation and inland flooding||| Other1"," Institutional||| Ecosystem-based"," Other2"," Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| National government||| Private sector corporations||| Sub-national government||| Other||| Private sector SMEs"
"47",6205532,"Africa","Is Sustainable Adaptation Possible? Determinants of Adaptation on Mount Kilimanjaro","Holler, J"," Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat||| Other1"," Technological/infrastructural||| Ecosystem-based"," Food security|||Poverty"," Civil Society- international/multinational/national||| Individuals or households||| National government||| Private sector corporations|||International or multinational governance institutions||| Civil Society- sub-national or local"
"48",6205533,"Africa","Investigating Climate Compatible Development Outcomes and their Implications for Distributive Justice: Evidence from Malawi","Wood, BT; Quinn, CH; Stringer, LC; Dougill, AJ"," Drought||| Extreme precipitation and inland flooding"," Ecosystem-based|||Behavioural/cultural"," Food security"," Civil Society- sub-national or local||| Individuals or households|||International or multinational governance institutions"
"49",6205534," South Island States","Raising awareness about climate change in Pacific communities","McNamara, KE"," General climate impacts","Behavioural/cultural"," Education||| Other2"," Civil Society- sub-national or local||| Other"
"50",6205535," Asia","Is cross-breeding with indigenous sheep breeds an option for climate-smart agriculture?","Wilkes, A; Barnes, AP; Batkhishig, B; Clare, A; Namkhainyam, B; Tserenbandi; Chuluunbaatar, N; Namkhainyam, T"," General climate impacts||| Other1||| Drought||| Increased frequency and intensity of extreme heat"," Ecosystem-based|||Behavioural/cultural||| Institutional||| Technological/infrastructural"," Food security|||Poverty"," Individuals or households||| Local government||| National government"
"51",6205536,"Africa","Livestock population dynamics and pastoral communities' adaptation to rainfall variability in communal lands of Kgalagadi South, Botswana","Kgosikoma, O.E.; Batisani, N."," Drought||| Precipitation variability","Behavioural/cultural||| Technological/infrastructural","Poverty||| Food security"," Individuals or households"
"52",6205537," North America","Genetic Adaptation vs. Ecophysiological Plasticity of Photosynthetic-Related Traits in Young Picea glauca Trees along a Regional Climatic Gradient","Benomar, L; Lamhamedi, MS; Rainville, A; Beaulieu, J; Bousquet, J; Margolis, HA"," General climate impacts||| Other1"," Ecosystem-based"," Terrestrial & freshwater ecosystem services"," Other"
"53",6205538,"Africa","Managing soil fertility to adapt to rainfall variability in smallholder cropping systems in Zimbabwe","Rurinda, J; Mapfumo, P; van Wijk, MT; Mtambanengwe, F; Rufino, MC; Chikowo, R; Giller, KE"," Drought||| Precipitation variability||| General climate impacts"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Work and economic growth|||Poverty||| Food security"," Individuals or households"
"54",6205539," Asia","Climate risk management in river-based tilapia cage culture in northern Thailand","Lebel, P; Whangchai, N; Chitmanat, C; Lebel, L"," Precipitation variability||| Extreme precipitation and inland flooding||| Drought"," Technological/infrastructural|||Behavioural/cultural"," Food security"," Individuals or households||| Sub-national government"
"55",6205540," Central and South America","The use of Ecosystem-based Adaptation practices by smallholder farmers in Central America","Harvey, CA; Martinez-Rodriguez, MR; Cardenas, JM; Avelino, J; Rapidel, B; Vignola, R; Donatti, CI; Vilchez-Mendoza, S"," General climate impacts||| Other1||| Precipitation variability"," Ecosystem-based||| Technological/infrastructural"," Work and economic growth||| Food security||| Health & wellbeing"," Individuals or households"
"56",6205541," Europe||| Asia|||Africa","Waterbird communities adjust to climate warming according to conservation policy and species protection status","Gaget, E; Galewski, T; Jiguet, F; Le Viol, I"," General climate impacts"," Ecosystem-based"," Terrestrial & freshwater ecosystem services","International or multinational governance institutions"
"57",6205542,"Africa","Flood management in cities of developing countries: the example of Ibadan, Nigeria","Egbinola, CN; Olaniran, HD; Amanambu, AC"," Extreme precipitation and inland flooding"," Institutional||| Technological/infrastructural|||Behavioural/cultural"," Other2"," National government||| Local government||| Civil Society- international/multinational/national"
"58",6205544,"Africa","Flood protection for the City of Beira: An exemplary climate adaptation project in Mozambique","Spekker, H; Heskamp, J"," Extreme precipitation and inland flooding|||Sea level rise"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Sustainable cities & communities","International or multinational governance institutions||| Local government||| Civil Society- sub-national or local||| National government||| Civil Society- international/multinational/national"
"59",6205545," Central and South America|||Africa||| Asia","Where the rain falls: Evidence from 8 countries on how vulnerable households use migration to manage the risk of rainfall variability and food insecurity","Warner, K; Afifi, T"," Precipitation variability||| Other1","Behavioural/cultural","Poverty||| Food security"," Individuals or households||| Civil Society- sub-national or local||| Local government||| Sub-national government"
"60",6205547," North America","Micro hydropower: an alternative for climate change mitigation, adaptation, and development of marginalized local communities in Hispaniola Island","Sanchez, A; Izzo, M"," General climate impacts"," Technological/infrastructural||| Institutional","Poverty||| Inequalities (Other than gender)"," Individuals or households||| Local government||| National government|||International or multinational governance institutions"
"61",6205548,"Africa","Options for water storage and rainwater harvesting to improve health and resilience against climate change in Africa","Boelee, E; Yohannes, M; Poda, JN; McCartney, M; Cecchi, P; Kibret, S; Hagos, F; Laamrani, H"," Drought||| Precipitation variability"," Technological/infrastructural"," Food security"," Individuals or households"
"62",6214200,"Africa","Climate-Change Adaptation in Ethiopia: To What Extent Does Social Protection Influence Livelihood Diversification?","Weldegebriel, ZB; Prowse, M"," General climate impacts||| Precipitation variability||| Drought","Behavioural/cultural"," Health & wellbeing||| Work and economic growth||| Food security"," Individuals or households||| National government|||International or multinational governance institutions"
"63",6214201,"Africa","The role of formal and informal institutions in smallholder agricultural adaptation: The case of lawra and nandom districts, Ghana","Abass, R.; Mensah, A.; Fosu-Mensah, B."," Increased frequency and intensity of extreme heat||| Precipitation variability||| General climate impacts","Behavioural/cultural||| Institutional||| Technological/infrastructural"," Food security"," Individuals or households||| Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Local government||| National government"
"64",6214202,"Africa","The role of perception in subsistence farmer adaptation in Africa Enriching the climate finance debate","Pauw, P"," Drought||| General climate impacts","Behavioural/cultural||| Institutional"," Food security"," Individuals or households||| National government||| Local government||| Sub-national government"
"65",6214203,"Africa","Rural household vulnerability to climate risk in Uganda","Cooper, SJ; Wheeler, T"," Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| General climate impacts"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Food security||| Clean water & sanitation||| Consumption & production|||Poverty||| Health & wellbeing"," Individuals or households"
"66",6214204,"Africa","Crops and livestock under the sun: Obstacles to rural livelihood adaptations to hotter 21st century temperatures in eastern Senegal","Brottem, L; Brooks, B"," General climate impacts||| Drought"," Ecosystem-based"," Food security"," Individuals or households"
"67",6214205,"Africa","Adaptation opportunities and maladaptive outcomes in climate vulnerability hotspots of northern Ghana","Antwi-Agyei, P; Dougill, AJ; Stringer, LC; Codjoe, SNA"," Drought||| General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding||| Other1"," Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural"," Food security||| Consumption & production||| Gender equality|||Poverty"," Individuals or households"
"68",6214206,"Africa","Adaptation to climate change impacts: coping strategies of an indigenous community in Ghana to declining water supply","Opare, S"," General climate impacts||| Drought||| Increased frequency and intensity of extreme heat||| Precipitation variability"," Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural"," Clean water & sanitation||| Inequalities (Other than gender)||| Terrestrial & freshwater ecosystem services||| Food security"," Individuals or households"
"69",6214207,"Africa","Determinants of farmers' adaptation to climate change: A micro level analysis in Ghana","Ndamani, F; Watanabe, T"," Precipitation variability||| Drought||| Other1||| Extreme precipitation and inland flooding"," Ecosystem-based||| Technological/infrastructural"," Food security|||Poverty||| Health & wellbeing"," Individuals or households"
"70",6214208,"Africa","Adaptation to climate change or non-climatic stressors in semi-arid regions? Evidence of gender differentiation in three agrarian districts of Ghana","Ahmed, A; Lawson, ET; Mensah, A; Gordon, C; Padgham, J"," General climate impacts||| Other1"," Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural"," Gender equality||| Food security||| Peace justice & strong institutions"," Civil Society- sub-national or local||| Individuals or households||| Other||| Sub-national government"
"71",6214209,"Africa","The development of Ethiopia's Climate Resilient Green Economy 2011-2014: implications for rural adaptation","Paul, CJ; Weinthal, E"," General climate impacts"," Institutional"," Food security|||Poverty||| Industry/innovation/technology"," Individuals or households||| Local government||| National government||| Civil Society- sub-national or local||| Private sector corporations"
"72",6214210,"Africa","Diversification Strategies and Adaptation Deficit: Evidence from Rural Communities in Niger","Asfaw, S; Pallante, G; Palma, A"," Precipitation variability||| Drought||| Other1","Behavioural/cultural"," Consumption & production||| Food security"," Individuals or households"
"73",6214211,"Africa","Drivers and responses to climate variability by agro-pastoralists in Kenya: the case of Laikipia County","Atsiaya, GO; Ayuya, OI; Nakhone, LW; Lagat, JK"," Drought||| Increased frequency and intensity of extreme heat||| General climate impacts","Behavioural/cultural||| Technological/infrastructural"," Food security|||Poverty"," Individuals or households"
"74",6214212,"Africa","Rural livelihoods and household adaptation to extreme flooding in the Okavango Delta, Botswana","Motsltolaplte, M.R.; Kgathi, D.L.; Vanderpost, C."," Extreme precipitation and inland flooding"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional"," Consumption & production||| Health & wellbeing|||Poverty||| Food security||| Work and economic growth||| Industry/innovation/technology"," Individuals or households||| Local government||| National government"
"75",6214214,"Africa","Rural transport and climate change in South Africa: Converting constraints into rural transport adaptation opportunities","Chakwizira, J"," Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability"," Technological/infrastructural||| Ecosystem-based||| Institutional"," Sustainable cities & communities|||Poverty"," Individuals or households||| National government"
"76",6214215,"Africa","Small Scale Rain- and Floodwater Harvesting for Horticulture in Central-Northern Namibia for Livelihood Improvement and as an Adaptation Strategy to Climate Change","Jokisch, A; Urban, W; Kluge, T"," Drought||| Extreme precipitation and inland flooding||| Precipitation variability"," Technological/infrastructural"," Food security"," Individuals or households"
"77",6214216,"Africa","Time matters: shifting seasonal migration in Northern Ghana in response to rainfall variability and food insecurity","Rademacher-Schulz, C; Schraven, B; Mahama, ES"," Drought||| Precipitation variability"," Ecosystem-based|||Behavioural/cultural"," Food security||| Health & wellbeing|||Poverty"," Individuals or households"
"78",6214217,"Africa","Understanding disaster resilience in communities affected by recurrent drought in Lesotho and Swaziland-A qualitative study","Kamara, JK; Agho, K; Renzaho, AMN"," Drought"," Institutional||| Ecosystem-based|||Behavioural/cultural"," Food security||| Terrestrial & freshwater ecosystem services"," Civil Society- international/multinational/national||| Individuals or households|||International or multinational governance institutions||| National government"
"79",6214218,"Africa","Useful traditional knowledge indicators for drought forecasting in the Mzingwane Catchment area of Zimbabwe","Chisadza, B; Tumbare, MJ; Nhapi, I; Nyabeze, WR"," Drought"," Technological/infrastructural||| Ecosystem-based"," Food security||| Terrestrial & freshwater ecosystem services"," Individuals or households"
"80",6214219,"Africa","Impacts of climate variability and food price volatility on household income and food security of farm households in East and West Africa","Wossen, T; Berger, T; Haile, MG; Troost, C"," General climate impacts||| Precipitation variability","Behavioural/cultural||| Institutional||| Technological/infrastructural"," Food security"," Individuals or households||| National government"
"81",6214220,"Africa","Enhancing adaptation to climate variability in the East African highlands: a case for fostering collective action among smallholder farmers in Kenya and Uganda","Ombogoh, DB; Tanui, J; McMullin, S; Muriuki, J; Mowo, J"," General climate impacts||| Drought||| Precipitation variability"," Ecosystem-based|||Behavioural/cultural"," Food security"," Individuals or households"
"82",6214221,"Africa","Indigenous Knowledge, Global Ignorance? Insights from an Eastern Cape Climate Change Study","Apraku, A; Akpan, W; Moyo, P"," General climate impacts||| Precipitation variability||| Drought||| Extreme precipitation and inland flooding","Behavioural/cultural||| Technological/infrastructural"," Food security||| Sustainable cities & communities||| Health & wellbeing"," Individuals or households"
"83",6214222,"Africa","In-Situ Adaptation and Coastal Vulnerabilities in Ghana and Tanzania","Yang, J; Owusu, V; Andriesse, E; Ablo, AD"," Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts||| Increased frequency and intensity of extreme heat||| Rising ocean temperature and ocean acidification","Behavioural/cultural||| Ecosystem-based"," Consumption & production||| Marine & coastal ecosystem services||| Food security"," Civil Society- international/multinational/national||| Individuals or households||| National government||| Local government||| Civil Society- sub-national or local"
